Jahr,WasserbilanzWert,TagohneNiederschlag
1901, 129.8, 186.8
1911, 128.1, 184.7
1921, 154.2, 186.4
1931, 143.1, 189.9
1941, 193.1, 197.4
1951, 157.4, 185.8
1961, 207.7, 179.6
1971, 137.5, 190.8
1981, 206.5, 181.5
1991, 170.8, 181.7
2010, 173.9, 181.5
2011, 187.0, 188.4
2021, 199.8, 187.1
2031, 202.9, 187.1
2041, 214.3, 186.4
2051, 218.2, 186.1
2061, 226.2, 185.6
2071, 231.4, 185.3
2081, 240.3, 184.8
2091, 255.2, 183.8
