Jahr,Mittleretemperatur,Niederschlagsumme
1901, 8.5, 605.2
1911, 9.0, 569.1
1921, 8.8, 606.6
1931, 9.0, 592.1
1941, 9.1, 566.0
1951, 8.9, 610.7
1961, 8.7, 609.1
1971, 9.0, 556.1
1981, 9.3, 596.7
1991, 9.7, 562.8
2001, 9.9, 629.6
2011, 9.7, 587.2
2021, 10.0, 579.5
2031, 10.4, 576.8
2041, 10.7, 573.6
2051, 11.0, 566.6
2061, 11.3, 559.4
2071, 11.6, 559.9
2081, 11.8, 551.1
2091, 12.0, 546.6
